Time,Unsubtracted Heat Flow,Baseline Heat Flow,Program Temperature,Sample Temperature,Approx. Gas Flow,Heat Flow Calibration,Uncorrected Heat Flow, 
0.038333,7.052062,-4.390976,33.691000,32.008000,0.000000,1.056615,7.052062, 
0.038750,6.828270,-4.614345,33.733000,32.045000,0.000000,1.056615,6.828270, 
0.039167,6.602894,-4.837079,33.770000,32.087000,0.000000,1.056615,6.602894, 
0.039583,6.376462,-5.058968,33.812000,32.125000,0.000000,1.056615,6.376462, 
0.040000,6.148550,-5.279167,33.850000,32.166000,0.000000,1.056615,6.148550, 
0.040417,5.920004,-5.498837,33.891000,32.204000,0.000000,1.056615,5.920004, 
0.040833,5.691352,-5.716289,33.929000,32.245000,0.000000,1.056615,5.691352, 
0.041250,5.461750,-5.932049,33.970000,32.287000,0.000000,1.056615,5.461750, 
0.041667,5.231830,-6.146542,34.012000,32.329000,0.000000,1.056615,5.231830, 
0.042083,5.002651,-6.358605,34.050000,32.370000,0.000000,1.056615,5.002651, 
0.042500,4.773259,-6.569294,34.091000,32.404000,0.000000,1.056615,4.773259, 
0.042917,4.544291,-6.776496,34.129000,32.445000,0.000000,1.056615,4.544291, 
0.043333,4.316062,-6.981902,34.170000,32.487000,0.000000,1.056615,4.316062, 
0.043750,4.088890,-7.184350,34.212000,32.525000,0.000000,1.056615,4.088890, 
0.044167,3.862457,-7.384261,34.250000,32.566000,0.000000,1.056615,3.862457, 
0.044583,3.637715,-7.581426,34.291000,32.608000,0.000000,1.056615,3.637715, 
0.045000,3.414241,-7.775209,34.329000,32.645000,0.000000,1.056615,3.414241, 
0.045417,3.192669,-7.966562,34.370000,32.687000,0.000000,1.056615,3.192669, 
0.045833,2.972470,-8.154323,34.408000,32.733000,0.000000,1.056615,2.972470, 
0.046250,2.754702,-8.338702,34.450000,32.770000,0.000000,1.056615,2.754702, 
0.046667,2.538835,-8.519806,34.491000,32.812000,0.000000,1.056615,2.538835, 
0.047083,2.325082,-8.697423,34.529000,32.850000,0.000000,1.056615,2.325082, 
0.047500,2.114287,-8.871553,34.570000,32.891000,0.000000,1.056615,2.114287, 
0.047917,1.905817,-9.041985,34.608000,32.929000,0.000000,1.056615,1.905817, 
0.048333,1.700411,-9.209036,34.650000,32.970000,0.000000,1.056615,1.700411, 
0.048750,1.497541,-9.371543,34.687000,33.008000,0.000000,1.056615,1.497541, 
0.049167,1.297946,-9.530987,34.729000,33.054000,0.000000,1.056615,1.297946, 
0.049583,1.101310,-9.686626,34.770000,33.095000,0.000000,1.056615,1.101310, 
0.050000,0.908161,-9.837933,34.808000,33.137000,0.000000,1.056615,0.908161, 
0.050417,0.718287,-9.985543,34.850000,33.179000,0.000000,1.056615,0.718287, 
0.050833,0.531900,-10.129348,34.887000,33.220000,0.000000,1.056615,0.531900, 
0.051250,0.349000,-10.268821,34.929000,33.258000,0.000000,1.056615,0.349000, 
0.051667,0.169375,-10.404385,34.970000,33.304000,0.000000,1.056615,0.169375, 
0.052083,-0.005494,-10.535933,35.008000,33.341000,0.000000,1.056615,-0.005494, 
0.052500,-0.177194,-10.663256,35.050000,33.383000,0.000000,1.056615,-0.177194, 
0.052917,-0.344562,-10.786668,35.087000,33.420000,0.000000,1.056615,-0.344562, 
0.053333,-0.508338,-10.905960,35.129000,33.462000,0.000000,1.056615,-0.508338, 
0.053750,-0.668098,-11.021026,35.166000,33.500000,0.000000,1.056615,-0.668098, 
0.054167,-0.823843,-11.132393,35.208000,33.537000,0.000000,1.056615,-0.823843, 
0.054583,-0.974939,-11.239534,35.250000,33.579000,0.000000,1.056615,-0.974939, 
0.055000,-1.122125,-11.342765,35.287000,33.620000,0.000000,1.056615,-1.122125, 
0.055417,-1.265085,-11.441241,35.329000,33.658000,0.000000,1.056615,-1.265085, 
0.055833,-1.403713,-11.536759,35.366000,33.700000,0.000000,1.056615,-1.403713, 
0.056250,-1.537692,-11.627311,35.408000,33.737000,0.000000,1.056615,-1.537692, 
0.056667,-1.667867,-11.714693,35.450000,33.779000,0.000000,1.056615,-1.667867, 
0.057083,-1.793393,-11.797743,35.487000,33.820000,0.000000,1.056615,-1.793393, 
0.057500,-1.914481,-11.876990,35.529000,33.862000,0.000000,1.056615,-1.914481, 
